S.No,API Endpoint,HTTP Method,Description,Input Parameters,Input Example (JSON),Output Format,Output Example (JSON)
58,/api/v1/schedular/dashboard/weekly-status-sla-default,GET,"Week-wise status counts using default/user override SLA. Groups sites by ISO week/year based on forecasted_cx_start_date and returns status counts per week. Supports all gantt-chart filters including vendor capacity and pace constraints.","Query Params: region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional — ON TRACK, IN PROGRESS, CRITICAL, Blocked, Excluded - Crew Shortage, Excluded - Pace Constraint)","/api/v1/schedular/dashboard/weekly-status-sla-default?region=Northeast&status=CRITICAL","JSON object with sla_type and weeks array","{""sla_type"": ""user_override"", ""weeks"": [{""week"": 10, ""year"": 2026, ""week_start"": ""2026-03-02"", ""week_end"": ""2026-03-08"", ""total"": 5, ""status_counts"": {""ON TRACK"": 2, ""IN PROGRESS"": 1, ""CRITICAL"": 1, ""Blocked"": 0, ""Excluded - Crew Shortage"": 0, ""Excluded - Pace Constraint"": 1}}]}"
59,/api/v1/schedular/dashboard/weekly-status-sla-history,GET,"Week-wise status counts using SLA history-based overrides. Computes expected_days from historical actual dates within the specified date range then groups sites by ISO week/year. Supports all gantt-chart filters.","Query Params: date_from (string, YYYY-MM-DD, required), date_to (string, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional — ON TRACK, IN PROGRESS, CRITICAL, Blocked, Excluded - Crew Shortage, Excluded - Pace Constraint)","/api/v1/schedular/dashboard/weekly-status-sla-history?date_from=2025-01-01&date_to=2025-06-30&region=Northeast","JSON object with sla_type, date range, and weeks array","{""sla_type"": ""history"", ""date_from"": ""2025-01-01"", ""date_to"": ""2025-06-30"", ""weeks"": [{""week"": 10, ""year"": 2026, ""week_start"": ""2026-03-02"", ""week_end"": ""2026-03-08"", ""total"": 5, ""status_counts"": {""ON TRACK"": 2, ""IN PROGRESS"": 1, ""CRITICAL"": 1, ""Blocked"": 0, ""Excluded - Crew Shortage"": 0, ""Excluded - Pace Constraint"": 1}}]}"
60,/api/v1/schedular/calendar,GET,"Calendar view — returns gantt chart sites whose forecasted_cx_start_date falls within the given date range. Uses default/user-override SLA. Supports all gantt chart filters.","Query Params: start_date (date, YYYY-MM-DD, required), end_date (date, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional)","/api/v1/schedular/calendar?start_date=2025-04-01&end_date=2025-06-30&region=Northeast","JSON object with sla_type, date range, count, and sites array","{""sla_type"": ""default"", ""start_date"": ""2025-04-01"", ""end_date"": ""2025-06-30"", ""count"": 15, ""sites"": [{""site_id"": ""SITE001"", ""milestones"": [], ""overall_status"": ""ON TRACK""}]}"
61,/api/v1/schedular/calendar/history,GET,"Calendar view using history-based SLA. Computes expected_days from historical actual dates within [sla_date_from, sla_date_to], then returns only sites whose forecasted_cx_start_date falls within [start_date, end_date].","Query Params: start_date (date, YYYY-MM-DD, required), end_date (date, YYYY-MM-DD, required), sla_date_from (date, YYYY-MM-DD, required), sla_date_to (date, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional)","/api/v1/schedular/calendar/history?start_date=2025-04-01&end_date=2025-06-30&sla_date_from=2025-01-01&sla_date_to=2025-03-31","JSON object with sla_type, date ranges, sla_last_updated, count, and sites array","{""sla_type"": ""history"", ""start_date"": ""2025-04-01"", ""end_date"": ""2025-06-30"", ""sla_date_from"": ""2025-01-01"", ""sla_date_to"": ""2025-03-31"", ""sla_last_updated"": ""2025-03-15T12:00:00"", ""count"": 10, ""sites"": [{""site_id"": ""SITE001"", ""milestones"": [], ""overall_status"": ""ON TRACK""}]}"
62,/api/v1/schedular/analytics/pending-milestones/auto,GET,"Pending milestone distribution using default/user-override SLA. Returns a list showing how many sites have N pending milestones (milestones without actual_finish). Blocked sites are excluded from counts and returned separately. Supports optional forecasted CX start date range filtering.","Query Params: region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), filter_date_from (string, YYYY-MM-DD, optional — only include sites with forecasted CX start >= this date), filter_date_to (string, YYYY-MM-DD, optional — only include sites with forecasted CX start <= this date)","/api/v1/schedular/analytics/pending-milestones/auto?region=Northeast&user_id=user123&filter_date_from=2025-04-01&filter_date_to=2025-06-30","JSON object with sla_type, total_sites, blocked_sites, and pending_milestones array","{""sla_type"": ""user_override"", ""total_sites"": 100, ""blocked_sites"": 3, ""pending_milestones"": [{""pending_milestone_count"": 0, ""site_count"": 5}, {""pending_milestone_count"": 1, ""site_count"": 12}, {""pending_milestone_count"": 3, ""site_count"": 8}]}"
63,/api/v1/schedular/analytics/pending-milestones/sla-history,GET,"Pending milestone distribution using SLA history (median completion days). Blocked sites are excluded from counts and returned separately. Supports optional forecasted CX start date range filtering.","Query Params: date_from (string, YYYY-MM-DD, required), date_to (string, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), filter_date_from (string, YYYY-MM-DD, optional — only include sites with forecasted CX start >= this date), filter_date_to (string, YYYY-MM-DD, optional — only include sites with forecasted CX start <= this date)","/api/v1/schedular/analytics/pending-milestones/sla-history?date_from=2025-01-01&date_to=2025-06-30&filter_date_from=2025-04-01&filter_date_to=2025-06-30","JSON object with sla_type, date range, total_sites, blocked_sites, and pending_milestones array","{""sla_type"": ""history_median"", ""date_from"": ""2025-01-01"", ""date_to"": ""2025-06-30"", ""total_sites"": 100, ""blocked_sites"": 2, ""pending_milestones"": [{""pending_milestone_count"": 0, ""site_count"": 5}, {""pending_milestone_count"": 1, ""site_count"": 12}]}"
64,/api/v1/schedular/analytics/pending-by-milestone/auto,GET,"Per-milestone pending site count using default/user-override SLA. Returns a list showing how many sites are pending for each milestone name. Blocked sites are excluded from counts and returned separately. Supports optional forecasted CX start date range filtering.","Query Params: region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), filter_date_from (string, YYYY-MM-DD, optional — only include sites with forecasted CX start >= this date), filter_date_to (string, YYYY-MM-DD, optional — only include sites with forecasted CX start <= this date)","/api/v1/schedular/analytics/pending-by-milestone/auto?user_id=user123&filter_date_from=2025-04-01","JSON object with sla_type, total_sites, blocked_sites, and milestones array","{""sla_type"": ""user_override"", ""total_sites"": 100, ""blocked_sites"": 3, ""milestones"": [{""milestone_key"": ""leasing"", ""milestone_name"": ""Leasing"", ""pending_site_count"": 12, ""sort_order"": 1}, {""milestone_key"": ""permitting"", ""milestone_name"": ""Permitting"", ""pending_site_count"": 8, ""sort_order"": 2}]}"
65,/api/v1/schedular/analytics/pending-by-milestone/sla-history,GET,"Per-milestone pending site count using SLA history (median completion days). Blocked sites are excluded from counts and returned separately. Supports optional forecasted CX start date range filtering.","Query Params: date_from (string, YYYY-MM-DD, required), date_to (string, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), filter_date_from (string, YYYY-MM-DD, optional — only include sites with forecasted CX start >= this date), filter_date_to (string, YYYY-MM-DD, optional — only include sites with forecasted CX start <= this date)","/api/v1/schedular/analytics/pending-by-milestone/sla-history?date_from=2025-01-01&date_to=2025-06-30&filter_date_from=2025-04-01","JSON object with sla_type, date range, total_sites, blocked_sites, and milestones array","{""sla_type"": ""history_median"", ""date_from"": ""2025-01-01"", ""date_to"": ""2025-06-30"", ""total_sites"": 100, ""blocked_sites"": 2, ""milestones"": [{""milestone_key"": ""leasing"", ""milestone_name"": ""Leasing"", ""pending_site_count"": 12, ""sort_order"": 1}]}"
66,/api/v1/schedular/analytics/drilldown/auto,GET,"Drilldown into analytics charts — returns full gantt site data for the clicked bar using default/user-override SLA. Use drilldown_type=pending_count to get sites with exactly N pending milestones, or drilldown_type=milestone_key to get sites where a specific milestone is pending. Blocked sites are excluded and returned separately. Supports optional forecasted CX start date range filtering.","Query Params: drilldown_type (string, required — 'pending_count' or 'milestone_key'), pending_count (int, required if drilldown_type=pending_count), milestone_key (string, required if drilldown_type=milestone_key), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), filter_date_from (string, YYYY-MM-DD, optional — only include sites with forecasted CX start >= this date), filter_date_to (string, YYYY-MM-DD, optional — only include sites with forecasted CX start <= this date)","/api/v1/schedular/analytics/drilldown/auto?drilldown_type=pending_count&pending_count=3&user_id=user123&filter_date_from=2025-04-01","JSON object with drilldown_type, pending_count/milestone_key, count, blocked_sites, and sites array","{""drilldown_type"": ""pending_count"", ""pending_count"": 3, ""milestone_key"": null, ""count"": 8, ""blocked_sites"": 2, ""sites"": [{""site_id"": ""SITE001"", ""milestones"": [], ""overall_status"": ""IN PROGRESS"", ""note"": null, ""exclude_reason"": null}]}"
67,/api/v1/schedular/analytics/drilldown/sla-history,GET,"Drilldown into SLA history analytics charts — returns full gantt site data for the clicked bar using SLA history (median). Use drilldown_type=pending_count or drilldown_type=milestone_key. Blocked sites are excluded and returned separately. Supports optional forecasted CX start date range filtering.","Query Params: date_from (string, YYYY-MM-DD, required), date_to (string, YYYY-MM-DD, required), drilldown_type (string, required — 'pending_count' or 'milestone_key'), pending_count (int, required if drilldown_type=pending_count), milestone_key (string, required if drilldown_type=milestone_key), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), filter_date_from (string, YYYY-MM-DD, optional — only include sites with forecasted CX start >= this date), filter_date_to (string, YYYY-MM-DD, optional — only include sites with forecasted CX start <= this date)","/api/v1/schedular/analytics/drilldown/sla-history?date_from=2025-01-01&date_to=2025-06-30&drilldown_type=milestone_key&milestone_key=leasing&filter_date_from=2025-04-01","JSON object with drilldown_type, date range, pending_count/milestone_key, count, blocked_sites, and sites array","{""drilldown_type"": ""milestone_key"", ""pending_count"": null, ""milestone_key"": ""leasing"", ""date_from"": ""2025-01-01"", ""date_to"": ""2025-06-30"", ""count"": 12, ""blocked_sites"": 1, ""sites"": [{""site_id"": ""SITE001"", ""milestones"": [], ""overall_status"": ""CRITICAL"", ""note"": null, ""exclude_reason"": null}]}"
